Continent,Country,2013 Rate,2011 Rate,2009 Rate,2007 Rate,2013 Value,2011 Value,2009 Value,2007 Value
Asia Pacific,Australia,21,23,25,28,743,763,550,492
Asia Pacific,Bangladesh,87,90,91,92,197,147,127,92
Asia Pacific,Brunei,66,67,67,67,13,25,14,13
Asia Pacific,China,74,77,79,82,8767,8902,7583,6664
Asia Pacific,Hong Kong,43,43,47,51,316,232,218,224
Asia Pacific,India,60,63,65,69,2911,2930,2003,2025
Asia Pacific,Indonesia,84,86,86,84,1463,1467,886,411
Asia Pacific,Japan,19,21,21,23,1349,1875,1838,1791
Asia Pacific,Malaysia,54,55,58,59,616,657,453,311
Asia Pacific,New Zealand,20,22,22,22,78,99,63,55
Asia Pacific,Pakistan,85,86,84,84,344,278,166,125
Asia Pacific,Philippines,69,70,69,69,444,338,217,147
Asia Pacific,Singapore,32,33,35,37,344,255,197,159
Asia Pacific,South Korea,38,40,41,43,712,815,575,549
Asia Pacific,Sri Lanka,83,84,89,90,187,86,77,93
Asia Pacific,Taiwan,38,37,38,40,305,293,227,215
Asia Pacific,Thailand,71,72,75,78,869,852,694,468
Asia Pacific,Vietnam,81,81,85,85,620,395,353,200
Central and Eastern Europe,Albania,75,75,75,78,10,6,8,11
Central and Eastern Europe,Armenia,86,88,90,93,26,26,14,8
Central and Eastern Europe,Azerbaijan,85,87,88,92,103,67,52,50
Central and Eastern Europe,Belarus,86,87,87,0,173,87,55,0
Central and Eastern Europe,Bosnia,65,66,66,68,21,15,14,13
Central and Eastern Europe,Bulgaria,63,64,67,68,101,102,115,63
Central and Eastern Europe,Croatia,52,53,54,54,64,74,71,68
Central and Eastern Europe,Czech Republic,34,35,37,39,182,214,174,161
Central and Eastern Europe,Estonia,47,48,50,51,20,25,19,20
Central and Eastern Europe,FYROM,65,66,67,68,19,22,15,11
Central and Eastern Europe,Georgia,90,91,95,0,40,52,54,0
Central and Eastern Europe,Hungary,39,41,41,42,127,143,113,125
Central and Eastern Europe,Kazakhstan,74,76,78,79,136,123,74,110
Central and Eastern Europe,Latvia,53,54,56,56,29,32,24,29
Central and Eastern Europe,Lithuania,53,54,54,56,47,44,31,37
Central and Eastern Europe,Moldova,90,90,91,92,57,45,28,43
Central and Eastern Europe,Montenegro,78,79,81,83,7,7,11,7
Central and Eastern Europe,Poland,51,53,54,57,563,618,506,580
Central and Eastern Europe,Romania,62,63,65,68,208,207,183,151
Central and Eastern Europe,Russia,62,63,67,73,2658,3227,2613,4123
Central and Eastern Europe,Serbia,69,72,74,76,70,104,67,72
Central and Eastern Europe,Slovakia,37,40,43,45,67,68,65,54
Central and Eastern Europe,Slovenia,45,46,46,48,41,51,39,39
Central and Eastern Europe,Ukraine,83,84,85,83,444,647,272,403
Latin America,Argentina,69,69,71,74,950,657,645,370
Latin America,Bolivia,79,79,80,82,95,59,40,19
Latin America,Brazil,50,53,56,59,2851,2848,2254,1617
Latin America,Chile,59,61,64,66,378,382,315,187
Latin America,Colombia,52,53,55,58,396,295,244,127
Latin America,Costa Rica,59,58,59,61,98,62,33,22
Latin America,Dominican Republic,75,76,77,79,73,93,66,39
Latin America,Ecuador,68,68,67,66,130,92,65,33
Latin America,El Salvador,80,80,80,81,72,58,46,28
Latin America,Guatemala,79,79,80,80,167,116,74,41
Latin America,Honduras,74,73,74,74,38,24,17,8
Latin America,Mexico,54,57,60,61,1211,1249,1056,836
Latin America,Nicaragua,82,79,79,80,23,9,5,4
Latin America,Panama,72,72,73,74,120,74,42,22
Latin America,Paraguay,84,83,82,82,115,73,29,13
Latin America,Peru,65,67,70,71,249,209,124,75
Latin America,Uruguay,68,68,68,69,74,85,40,23
Latin America,Venezuela,88,88,87,87,1030,668,685,464
Middle East and Africa,Algeria,85,84,84,84,102,83,55,86
Middle East and Africa,Bahrain,53,54,54,57,27,23,21,27
Middle East and Africa,Botswana,79,80,79,82,20,16,11,14
Middle East and Africa,Cameroon,82,83,83,84,9,9,7,5
Middle East and Africa,Egypt,62,61,59,60,198,172,146,131
Middle East and Africa,Iraq,86,86,85,85,116,172,129,124
Middle East and Africa,Israel,30,31,33,32,177,192,148,121
Middle East and Africa,Ivory Coast,80,81,79,81,24,16,14,15
Middle East and Africa,Jordan,57,58,57,60,35,31,26,20
Middle East and Africa,Kenya,78,78,79,81,128,85,66,28
Middle East and Africa,Kuwait,58,59,60,62,97,72,62,61
Middle East and Africa,Lebanon,71,71,72,73,65,52,46,44
Middle East and Africa,Libya,89,90,88,88,50,60,25,22
Middle East and Africa,Mauritius,55,57,56,57,7,7,4,4
Middle East and Africa,Morocco,66,66,66,67,69,91,64,66
Middle East and Africa,Nigeria,81,82,83,82,287,251,156,114
Middle East and Africa,Oman,60,61,63,61,65,36,39,23
Middle East and Africa,Qatar,49,50,51,54,77,62,50,25
Middle East and Africa,Reunion,39,40,40,40,1,1,1,1
Middle East and Africa,Saudi Arabia,50,51,51,51,421,449,304,170
Middle East and Africa,Senegal,77,78,78,80,9,9,5,6
Middle East and Africa,South Africa,34,35,35,34,385,564,324,284
Middle East and Africa,Tunisia,75,74,72,76,66,51,44,54
Middle East and Africa,Turkey,60,62,63,65,504,526,415,365
Middle East and Africa,UAE,36,37,36,35,230,208,155,94
Middle East and Africa,Yemen,87,89,90,89,9,15,10,13
Middle East and Africa,Zambia,81,82,82,82,3,3,2,2
Middle East and Africa,Zimbabwe,91,92,92,91,4,4,4,3
